Transposon_Family	Transposon_Super_Family
ARNOLD1	DNA/Mutator
ARNOLD2	DNA/Mutator
ARNOLD3	DNA/Mutator
ARNOLD4	DNA/Mutator
ARNOLDY1	DNA/Mutator
ARNOLDY2	DNA/Mutator
AT9MU1	DNA/Mutator
AT9NMU1	DNA/Mutator
AT9TSD1	DNA/Mutator
ATCOPIA10	LTR/Ty1
ATCOPIA11	LTR/Ty1
ATCOPIA12	LTR/Ty1
ATCOPIA13	LTR/Ty1
ATCOPIA14	LTR/Ty1
ATCOPIA15	LTR/Ty1
ATCOPIA16	LTR/Ty1
ATCOPIA17	LTR/Ty1
ATCOPIA18A	LTR/Ty1
ATCOPIA18	LTR/Ty1
ATCOPIA19	LTR/Ty1
ATCOPIA1	LTR/Ty1
ATCOPIA20	LTR/Ty1
ATCOPIA21	LTR/Ty1
ATCOPIA22	LTR/Ty1
ATCOPIA23	LTR/Ty1
ATCOPIA24	LTR/Ty1
ATCOPIA25	LTR/Ty1
ATCOPIA26	LTR/Ty1
ATCOPIA27	LTR/Ty1
ATCOPIA28	LTR/Ty1
ATCOPIA29	LTR/Ty1
ATCOPIA2	LTR/Ty1
ATCOPIA30	LTR/Ty1
ATCOPIA31A	LTR/Ty1
ATCOPIA31	LTR/Ty1
ATCOPIA32B	LTR/Ty1
ATCOPIA32	LTR/Ty1
ATCOPIA33	LTR/Ty1
ATCOPIA34	LTR/Ty1
ATCOPIA35	LTR/Ty1
ATCOPIA36	LTR/Ty1
ATCOPIA37	LTR/Ty1
ATCOPIA38A	LTR/Ty1
ATCOPIA38B	LTR/Ty1
ATCOPIA38	LTR/Ty1
ATCOPIA39	LTR/Ty1
ATCOPIA3	LTR/Ty1
ATCOPIA40	LTR/Ty1
ATCOPIA41	LTR/Ty1
ATCOPIA42	LTR/Ty1
ATCOPIA43	LTR/Ty1
ATCOPIA44	LTR/Ty1
ATCOPIA45	LTR/Ty1
ATCOPIA46	LTR/Ty1
ATCOPIA47	LTR/Ty1
ATCOPIA48	LTR/Ty1
ATCOPIA49	LTR/Ty1
ATCOPIA4	LTR/Ty1
ATCOPIA50	LTR/Ty1
ATCOPIA51	LTR/Ty1
ATCOPIA52	LTR/Ty1
ATCOPIA53	LTR/Ty1
ATCOPIA54	LTR/Ty1
ATCOPIA55	LTR/Ty1
ATCOPIA56	LTR/Ty1
ATCOPIA57	LTR/Ty1
ATCOPIA58	LTR/Ty1
ATCOPIA59	LTR/Ty1
ATCOPIA5	LTR/Ty1
ATCOPIA60	LTR/Ty1
ATCOPIA61	LTR/Ty1
ATCOPIA62	LTR/Ty1
ATCOPIA63	LTR/Ty1
ATCOPIA64	LTR/Ty1
ATCOPIA65A	LTR/Ty1
ATCOPIA65	LTR/Ty1
ATCOPIA66	LTR/Ty1
ATCOPIA67	LTR/Ty1
ATCOPIA68	LTR/Ty1
ATCOPIA69	LTR/Ty1
ATCOPIA6	LTR/Ty1
ATCOPIA70	LTR/Ty1
ATCOPIA71	LTR/Ty1
ATCOPIA72	LTR/Ty1
ATCOPIA73	LTR/Ty1
ATCOPIA74	LTR/Ty1
ATCOPIA75	LTR/Ty1
ATCOPIA76	LTR/Ty1
ATCOPIA77	LTR/Ty1
ATCOPIA78	LTR/Ty1
ATCOPIA79	LTR/Ty1
ATCOPIA7	LTR/Ty1
ATCOPIA80	LTR/Ty1
ATCOPIA81	LTR/Ty1
ATCOPIA82	LTR/Ty1
ATCOPIA83	LTR/Ty1
ATCOPIA84	LTR/Ty1
ATCOPIA85	LTR/Ty1
ATCOPIA86	LTR/Ty1
ATCOPIA87	LTR/Ty1
ATCOPIA88	LTR/Ty1
ATCOPIA89	LTR/Ty1
ATCOPIA8A	LTR/Ty1
ATCOPIA8B	LTR/Ty1
ATCOPIA90	LTR/Ty1
ATCOPIA91	LTR/Ty1
ATCOPIA92	LTR/Ty1
ATCOPIA93	LTR/Ty1
ATCOPIA94	LTR/Ty1
ATCOPIA95	LTR/Ty1
ATCOPIA96	LTR/Ty1
ATCOPIA97	LTR/Ty1
ATCOPIA9	LTR/Ty1
ATDNA12T3_2	DNA
ATDNA12T3A	DNA
ATDNA1T9A	DNA/Mutator
ATDNA2T9A	DNA/Mutator
ATDNA2T9B	DNA/Mutator
ATDNA2T9C	DNA/Mutator
ATDNAI26T9	DNA/Mutator
ATDNAI27T9A	DNA/Mutator
ATDNAI27T9B	DNA/Mutator
ATDNAI27T9C	DNA/Mutator
ATDNATA1	DNA/Mariner
ATENSPM10	DNA/CACTA
ATENSPM11	DNA/CACTA
ATENSPM1A	DNA/CACTA
ATENSPM1	DNA/CACTA
ATENSPM2	DNA/CACTA
ATENSPM3	DNA/CACTA
ATENSPM4	DNA/CACTA
ATENSPM5	DNA/CACTA
ATENSPM6	DNA/CACTA
ATENSPM7	DNA/CACTA
ATENSPM8	DNA/CACTA
ATENSPM9	DNA/CACTA
ATGP10	LTR/Ty3
ATGP1	LTR/Ty3
ATGP2	LTR/Ty3
ATGP2N	LTR/Ty3
ATGP3	LTR/Ty3
ATGP5	LTR/Ty3
ATGP6	LTR/Ty3
ATGP7	LTR/Ty3
ATGP8	LTR/Ty3
ATGP9B	LTR/Ty3
ATGP9LTR	LTR/Ty3
ATHAT10	DNA/HAT
ATHAT1	DNA/HAT
ATHAT2	DNA/HAT
ATHAT3	DNA/HAT
ATHAT7	DNA/HAT
ATHATN10	DNA/HAT
ATHATN1	DNA/HAT
ATHATN2	DNA/HAT
ATHATN3A	DNA/HAT
ATHATN3	DNA/HAT
ATHATN4	DNA/HAT
ATHATN5	DNA/HAT
ATHATN6	DNA/HAT
ATHATN7	DNA/HAT
ATHATN8	DNA/HAT
ATHATN9	DNA/HAT
ATHILA0_I	LTR/Ty3
ATHILA2	LTR/Ty3
ATHILA3	LTR/Ty3
ATHILA4A	LTR/Ty3
ATHILA4B_LTR	LTR/Ty3
ATHILA4C	LTR/Ty3
ATHILA4D_LTR	LTR/Ty3
ATHILA4	LTR/Ty3
ATHILA5	LTR/Ty3
ATHILA6A	LTR/Ty3
ATHILA6B	LTR/Ty3
ATHILA7A	LTR/Ty3
ATHILA7	LTR/Ty3
ATHILA8A	LTR/Ty3
ATHILA8B	LTR/Ty3
ATHILA	LTR/Ty3
ATHPOGO	DNA/Mariner
ATHPOGON1	DNA/Mariner
ATHPOGON2	DNA/Mariner
ATHPOGON3	DNA/Mariner
ATIS112A	DNA/Harbinger
ATLANTYS1	LTR/Ty3
ATLANTYS2	LTR/Ty3
ATLANTYS3	LTR/Ty3
ATLINE1_1	LINE
ATLINE1_2	LINE
ATLINE1_3A	LINE
ATLINE1_4	LINE
ATLINE1_5	LINE
ATLINE1_6	LINE
ATLINE1A	LINE
ATLINE2	LINE
ATLINEIII	LINE
ATMU10	DNA/Mutator
ATMU11	DNA/Mutator
ATMU1	DNA/Mutator
ATMU2	DNA/Mutator
ATMU3	DNA/Mutator
ATMU3N1	DNA/Mutator
ATMU4	DNA/Mutator
ATMU5	DNA/Mutator
ATMU6	DNA/Mutator
ATMU6N1	DNA/Mutator
ATMU7	DNA/Mutator
ATMU8	DNA/Mutator
ATMU9	DNA/Mutator
ATMUN1	DNA/Mutator
ATMUN2	DNA/Mutator
ATMUNX1	DNA/Mutator
ATN9_1	DNA/Mutator
ATRE1	LTR/Ty1
ATREP10A	RC/Helitron
ATREP10B	RC/Helitron
ATREP10C	RC/Helitron
ATREP10D	RC/Helitron
ATREP10	RC/Helitron
ATREP11A	RC/Helitron
ATREP11	RC/Helitron
ATREP12	RC/Helitron
ATREP13	RC/Helitron
ATREP14	RC/Helitron
ATREP15	RC/Helitron
ATREP16	DNA/Mutator
ATREP17	DNA/Mutator
ATREP18	DNA
ATREP19	DNA
ATREP1	RC/Helitron
ATREP2A	RC/Helitron
ATREP2	RC/Helitron
ATREP3	RC/Helitron
ATREP4	RC/Helitron
ATREP5	RC/Helitron
ATREP6	RC/Helitron
ATREP7	RC/Helitron
ATREP8	RC/Helitron
ATREP9	RC/Helitron
ATSINE2A	SINE
ATSINE4	SINE
ATTIR16T3A	DNA
ATTIRTA1	DNA/Mariner
ATTIRX1A	DNA
ATTIRX1B	DNA
ATTIRX1C	DNA
ATTIRX1D	DNA
BOMZH1	DNA/Mutator
BOMZH2	DNA/Mutator
BRODYAGA1A	DNA/Mutator
BRODYAGA1	DNA/Mutator
BRODYAGA2	DNA/Mutator
DRL1	DNA/HAT
DT1	DNA/Mariner
ENDOVIR1	LTR/Ty1
HARBINGER	DNA/Harbinger
HELITRON1	RC/Helitron
HELITRON2	RC/Helitron
HELITRON3	RC/Helitron
HELITRON4	RC/Helitron
HELITRON5	RC/Helitron
HELITRONY1A	RC/Helitron
HELITRONY1B	RC/Helitron
HELITRONY1C	RC/Helitron
HELITRONY1D	RC/Helitron
HELITRONY1E	RC/Helitron
HELITRONY2	RC/Helitron
HELITRONY3A	RC/Helitron
HELITRONY3	RC/Helitron
LIMPET1	DNA/Mutator
META1	LTR/Ty1
RathE1_cons	SINE
RathE2_cons	SINE
RathE3_cons	SINE
ROMANIAT5	LTR/Ty1
RP1_AT	DNA
SADHU	SINE
SIMPLEGUY1	DNA/Harbinger
SIMPLEHAT1	DNA/HAT
SIMPLEHAT2	DNA/HAT
TA11	LINE
TA12	LINE
TA1-2	LTR/Ty1
TA1_AT	LTR/Ty3
TAG1	DNA/HAT
TAG2	DNA/HAT
TAG3N1	DNA/HAT
TAT1_ATH	LTR/Ty3
TNAT1A	DNA
TNAT2A	DNA
TSCL	LINE
Unassigned	Unassigned
VANDAL10	DNA/Mutator
VANDAL11	DNA/Mutator
VANDAL12	DNA/Mutator
VANDAL13	DNA/Mutator
VANDAL14	DNA/Mutator
VANDAL15	DNA/Mutator
VANDAL16	DNA/Mutator
VANDAL17	DNA/Mutator
VANDAL18	DNA/Mutator
VANDAL18NA	DNA/Mutator
VANDAL18NB	DNA/Mutator
VANDAL1	DNA/Mutator
VANDAL1N1	DNA/Mutator
VANDAL20	DNA/Mutator
VANDAL21	DNA/Mutator
VANDAL22	DNA/Mutator
VANDAL2	DNA/Mutator
VANDAL2N1	DNA/Mutator
VANDAL3	DNA/Mutator
VANDAL4	DNA/Mutator
VANDAL5A	DNA/Mutator
VANDAL5	DNA/Mutator
VANDAL6	DNA/Mutator
VANDAL7	DNA/Mutator
VANDAL8	DNA/Mutator
VANDAL9	DNA/Mutator
VANDALNX1	DNA/Mutator
VANDALNX2	DNA/Mutator
